"id";"titles";"price"
0;"The Complete Peanuts Book";"$65"
1;"Bookends";"$20"
2;"LENSMAN SAGA EASTON PRESS 6 LEATHER BOUND BOOKS";"$20"
3;"Christopher Paolini New First Editions Brisingr and Eldest Hard Cover";"$5"
4;"CAESAR AND CHRIST, 1995 EASTON PRESS LEATHER BOUND BOOK";"$5"
5;"Nancy Drew BLUE END PAGES Ex cond";"$395"
6;"WATERLOO,  THE HUNDRED DAYS EASTON PRESS";"$395"
7;"Exploring Medical Language by Myrna LaFleur Brooks and Danielle L";"$25"
8;"Orchestration by Cecil Forsyth";"$25"
9;"&quot;Orchestration&quot; by Walter Piston";"$45"
10;"In Search of Sacha - An ethereal fairy tale";"$45"
11;"The Game of Thrones Book Set";"$20"
12;"79 Mojo Magazines 1999-2006 Rock &#39;n Roll HISTORY Heaven";"$20"
13;"NEW Black Dr. Dean Edwell 2.50 Reading Glasses + Case + 2 Lip Balms";"$45"
14;"COMICS COMICS COMICS OVER 60K COMICS 1 BUCK EACH";"$45"
15;"LAST WEEKEND OF NEW COMICS OVER 160 LONG BOXES $1 EACH OR $75 LONG BX";"$65"
16;"TAO TE CHING EASTON PRESS BOOK";"$65"
17;"Pain 10s";"$5"
18;"TARZAN OF THE APES EASTON PRESS BOOK";"$5"
19;"13 DAYS TO GLORY, THE SIEGE OF THE ALAMO, EASTON PRESS BOOK";"$5"
20;"Nantucket Island, Gambee Robert";"$5"
21;"A TRAVELLER&#39;S GUIDES TO CHRISTIAN EUROPE";"$10"
22;"Sherlock Holmes: My Life and Crimes Hardwick, Michael 1986";"$10"
23;"23 BOOKS: INCLUDING HARD COVERS ONLY $5!";"$20"
24;"The Book Of Common Prayer (Episcopal Church, 1945 ) Psalms of David";"$20"
25;"STAR TREK 365 THE ORIGINAL SERIES EASTON PRESS LEATHER BOUND BOOK";"$325"
26;"Persian Miniatures; a Picture Book Metropolitan Museum of Art 1944";"$325"
27;"Conceptual Physical Science-Explorations Hardcover";"$15"
28;"6 Vintage Cook Books 1925-1974";"$15"
29;"Behind the Masks: Personality Disorders in Religious Behavior &#39;97";"$1"
30;"THE FORBIDDEN COAST: THE STORY OF A JOURNEY TO RIO DE ORO";"$1"
31;"Langenscheidt&#39;s Universal German Dictionary: German-English Eng-Ger";"$1"
32;"Scotland The Light and the Land - Baxter, Colin (photographs)";"$1"
33;"Stylist: The interpreters of Fashion";"$45"
34;"\xe2\x80\x9cAngels\xe2\x80\x9d";"$45"
35;"Vogue Book";"$12"
36;"*COLLECTIBLE* Maida Heatter&#39;s Book of Great Desserts";"$45"
37;"*BRAND NEW* Martha Stewart&#39;s New Pies and Tarts / Get ready for the ho";"$45"
38;"Beethoven; a Critical Biography by Vincent d&#39;Indy /Theodore Baker 1913";"$45"
39;"&quot;Super Natural Every Day&quot; cookbook by Heidi Swanson";"$45"
40;"My Life in France by Julia Child";"$7"
